,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,rcp45_mean,rcp45_std,rcp45_min,rcp85_mean,rcp85_std,rcp85_min,hist_10yr_mean,hist_10yr_min,hist_10yr_std,mid_rcp45_mean,mid_rcp45_min,late_rcp45_mean,late_rcp45_min,mid_rcp85_mean,mid_rcp85_min,late_rcp85_mean,late_rcp85_min,recent_30yr_mean,recent_30yr_min,zscore_rcp45,shifting_rcp45,zscore_rcp85,shifting_rcp85,zscore_mid_rcp45,shifting_mid_rcp45,zscore_late_rcp45,shifting_late_rcp45,zscore_mid_rcp85,shifting_mid_rcp85,zscore_late_rcp85,shifting_late_rcp85
58,"Sherwood, WA, Disposal Site",SHE,WA,-0.01,0.23,-0.5,0.04,0.36,-1.11,0.01,0.31,-0.77,-0.11,-0.5,0.18,-0.09,-0.62,0.38,-0.21,-0.07,-0.77,-0.1,-0.71,-0.01,-0.5,0.21,0,0.08,0,0.12,0,2.67,0,0.22,0,0.07,0
59,"Shiprock, NM, Disposal Site",SHP,NM,-0.01,0.3,-0.55,-0.34,0.26,-1.07,-0.61,0.39,-1.54,-0.13,-0.38,0.17,-0.24,-0.4,-0.38,-0.86,-0.53,-1.2,-1.04,-1.54,-0.07,-0.55,-1.08,2,-1.97,2,-0.63,1,-1.47,2,-2.39,3,-5.39,3
60,"Shirley Basin South, WY, Disposal Site",SBS,WY,-0.0,0.24,-0.44,-0.06,0.26,-0.7,-0.37,0.34,-1.1,-0.03,-0.16,0.13,-0.12,-0.47,-0.03,-0.4,-0.36,-0.77,-0.74,-1.1,-0.04,-0.44,-0.26,1,-1.52,2,-0.72,1,-0.03,1,-2.64,3,-5.67,3
61,"Shoal, NV, Site",SHL,NV,0.0,0.25,-0.68,-0.11,0.31,-1.04,-0.41,0.37,-1.55,-0.11,-0.68,0.21,-0.06,-0.35,0.04,-0.45,-0.37,-0.63,-0.8,-1.55,-0.01,-0.68,-0.45,1,-1.65,2,0.25,0,0.69,0,-1.25,2,-3.25,3
62,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,-0.01,0.24,-0.47,0.15,0.31,-0.63,0.09,0.33,-0.9,-0.03,-0.33,0.17,0.19,-0.08,0.32,0.14,0.02,-0.34,-0.06,-0.9,-0.05,-0.79,0.65,0,0.43,0,1.31,0,2.02,0,0.32,0,-0.18,1
63,"Slick Rock East, CO, Processing Site",SRE,CO,-0.01,0.28,-0.44,-0.34,0.28,-1.18,-0.59,0.38,-1.59,-0.16,-0.36,0.16,-0.17,-0.39,-0.34,-0.72,-0.51,-1.11,-1.02,-1.59,-0.07,-0.44,-1.18,2,-2.07,3,-0.09,1,-1.21,2,-2.31,3,-5.57,3
64,"Slick Rock West, CO, Processing Site",SRW,CO,-0.01,0.28,-0.44,-0.34,0.28,-1.18,-0.59,0.38,-1.59,-0.16,-0.36,0.16,-0.17,-0.39,-0.34,-0.72,-0.51,-1.11,-1.02,-1.59,-0.07,-0.44,-1.18,2,-2.07,3,-0.09,1,-1.21,2,-2.31,3,-5.57,3
65,"Slick Rock, CO, Disposal Site",SRD,CO,-0.01,0.28,-0.44,-0.34,0.28,-1.18,-0.59,0.38,-1.59,-0.16,-0.36,0.16,-0.17,-0.39,-0.34,-0.72,-0.51,-1.11,-1.02,-1.59,-0.07,-0.44,-1.18,2,-2.07,3,-0.09,1,-1.21,2,-2.31,3,-5.57,3
66,"Spook, WY, Disposal Site",SPK,WY,-0.0,0.28,-0.48,-0.09,0.26,-0.71,-0.37,0.36,-1.12,-0.12,-0.32,0.14,-0.15,-0.61,0.06,-0.31,-0.33,-0.69,-0.83,-1.12,-0.04,-0.48,-0.32,1,-1.34,2,-0.25,1,1.32,0,-1.6,2,-5.27,3
67,"Tonopah Test Range, NV, Site",TTR,NV,0.0,0.24,-0.68,-0.22,0.28,-0.85,-0.56,0.37,-1.56,-0.16,-0.68,0.22,-0.14,-0.56,-0.26,-0.59,-0.5,-0.8,-1.04,-1.56,-0.02,-0.68,-0.91,1,-2.35,3,0.1,0,-0.45,1,-1.55,2,-3.99,3
68,"Tuba City, AZ, Disposal Site",TUB,AZ,-0.01,0.27,-0.4,-0.37,0.26,-0.96,-0.66,0.38,-1.62,-0.1,-0.31,0.17,-0.28,-0.41,-0.43,-0.79,-0.67,-1.09,-1.08,-1.62,-0.08,-0.4,-1.32,2,-2.4,3,-1.11,2,-1.99,2,-3.45,3,-5.85,3
69,"Utah, UT, Site",UTA,UT,0.0,0.27,-0.5,-0.34,0.29,-1.26,-0.64,0.43,-1.48,-0.16,-0.5,0.2,-0.23,-0.56,-0.36,-0.7,-0.64,-1.12,-1.08,-1.48,-0.06,-0.5,-1.27,2,-2.38,3,-0.39,1,-1.04,2,-2.41,3,-4.63,3
70,"Weldon Spring, MO, Site",WEL,MO,-0.01,0.26,-0.54,0.12,0.35,-0.66,0.06,0.36,-0.73,-0.02,-0.14,0.12,0.11,-0.14,0.3,-0.26,-0.05,-0.69,-0.14,-0.59,-0.08,-0.7,0.48,0,0.24,0,1.1,0,2.79,0,-0.24,1,-1.04,2
